trial,Time (s),Supply (V),Supply (A),Mass (g),Power (W),Resistance (Ohms)
1.1,0.00,20.20,0.49,278.5,9.898,41.2244898
,71.67,20.20,0.49,268.5,9.898,41.2244898
1.2,0.00,20.20,0.49,268.5,9.898,41.2244898
,74.00,20.20,0.49,258.5,9.898,41.2244898
1.3,0.00,20.20,0.49,258.5,9.898,41.2244898
,67.73,20.20,0.49,248.5,9.898,41.2244898
1.4,0.00,20.20,0.49,248.5,9.898,41.2244898
,74.46,20.20,0.49,238.5,9.898,41.2244898
1.5,0.00,20.20,0.49,238.5,9.898,41.2244898
,83.67,20.20,0.49,228.5,9.898,41.2244898
1.6,0.00,20.20,0.49,228.5,9.898,41.2244898
,71.52,20.20,0.49,218.5,9.898,41.2244898
,,,,,,
,,,,,,
2.1,0.00,2.67,0.06,268.5,0.1602,44.5
,96.21,2.68,0.06,258.5,0.1608,44.66666667
2.2,0.00,2.68,0.06,258.5,0.1608,44.66666667
,104.51,2.67,0.06,248.5,0.1602,44.5
2.3,0.00,2.67,0.06,248.5,0.1602,44.5
,112.05,2.67,0.06,238.5,0.1602,44.5
2.4,0.00,2.67,0.06,238.5,0.1602,44.5
,129.09,2.67,0.06,228.5,0.1602,44.5
2.5,0.00,2.67,0.06,228.5,0.1602,44.5
,125.58,2.67,0.06,218.5,0.1602,44.5
2.6,0.00,2.67,0.06,218.5,0.1602,44.5
,122.15,2.67,0.06,208.5,0.1602,44.5
,,,,,,
,,,,,,
3.1,0.00,11.46,0.27,288.0,3.0942,42.44444444
,83.55,11.47,0.27,278.0,3.0969,42.48148148
3.2,0.00,11.50,0.27,278.0,3.105,42.59259259
,82.61,11.48,0.27,268.0,3.0996,42.51851852
3.3,0.00,11.49,0.27,268.0,3.1023,42.55555556
,84.26,11.48,0.27,258.0,3.0996,42.51851852
3.4,0.00,11.48,0.27,258.0,3.0996,42.51851852
,87.32,11.48,0.27,248.0,3.0996,42.51851852
3.5,0.00,11.47,0.27,248.0,3.0969,42.48148148
,93.56,11.48,0.27,238.0,3.0996,42.51851852
3.6,0.00,11.46,0.27,238.0,3.0942,42.44444444
,104.64,11.5,0.27,228.0,3.105,42.59259259
,,,,,,
,,,,,,
4.1,0.00,16.10,0.39,308.0,6.279,41.28205128
,72.55,16.10,0.38,298.0,6.118,42.36842105
4.2,0.00,16.10,0.38,298.0,6.118,42.36842105
,72.72,16.09,0.38,288.0,6.1142,42.34210526
4.3,0.00,16.09,0.38,288.0,6.1142,42.34210526
,74.30,16.11,0.38,278.0,6.1218,42.39473684
4.4,0.00,16.14,0.39,278.0,6.2946,41.38461538
,74.13,16.13,0.38,268.0,6.1294,42.44736842
4.5,0.00,16.13,0.38,268.0,6.1294,42.44736842
,70.16,16.15,0.38,258.0,6.137,42.5
4.6,0.00,16.13,0.38,258.0,6.1294,42.44736842
,78.96,16.13,0.38,248.0,6.1294,42.44736842
,,,,,,
,,,,,,
5.1,0.00,5.49,0.13,300.0,0.7137,42.23076923
,82.65,5.49,0.13,290.0,0.7137,42.23076923
5.2,0.00,5.49,0.13,290.0,0.7137,42.23076923
,92.67,5.50,0.13,280.0,0.715,42.30769231
5.3,0.00,5.49,0.13,280.0,0.7137,42.23076923
,90.33,5.50,0.13,270.0,0.715,42.30769231
5.4,0.00,5.50,0.13,270.0,0.715,42.30769231
,89.67,5.50,0.13,260.0,0.715,42.30769231
5.5,0.00,5.50,0.13,260.0,0.715,42.30769231
,94.55,5.50,0.13,250.0,0.715,42.30769231
5.6,0.00,5.50,0.13,250.0,0.715,42.30769231
,105.64,5.50,0.13,240.0,0.715,42.30769231
,,,,,,
,,,,,,
6.1,0.00,13.03,0.31,295.5,4.0393,42.03225806
,82.96,13.03,0.31,285.4,4.0393,42.03225806
6.2,0.00,13.03,0.31,285.4,4.0393,42.03225806
,74.91,13.03,0.31,275.5,4.0393,42.03225806
6.3,0.00,13.03,0.31,275.5,4.0393,42.03225806
,78.78,13.03,0.31,265.5,4.0393,42.03225806
6.4,0.00,13.03,0.31,265.5,4.0393,42.03225806
,84.89,13.03,0.31,255.5,4.0393,42.03225806
6.5,0.00,13.03,0.31,255.5,4.0393,42.03225806
,83.53,13.04,0.31,245.5,4.0424,42.06451613
6.6,0.00,13.08,0.31,245.5,4.0548,42.19354839
,89.87,13.06,0.31,235.5,4.0486,42.12903226
