"Time (s) Run #1","Temperature (°C) Run #1","Time (s) Run #2","Temperature (°C) Run #2","Time (s) Run #3","Temperature (°C) Run #3","Time (s) Run #4","Temperature (°C) Run #4"
0.000,22.9,0.000,23.6,0.000,24.1,0.000,28.5
5.000,22.9,5.000,23.6,5.000,24.1,5.000,28.4
10.000,22.9,10.000,23.6,10.000,24.1,10.000,28.4
15.000,22.9,15.000,23.6,15.000,24.1,15.000,28.4
20.000,22.9,20.000,23.6,20.000,24.1,20.000,28.3
25.000,22.9,25.000,23.6,25.000,24.1,25.000,28.3
30.000,22.9,30.000,23.8,30.000,24.1,30.000,28.2
35.000,23.4,35.000,24.1,35.000,24.1,35.000,28.5
40.000,24.3,40.000,24.6,40.000,24.1,40.000,29.1
45.000,25.4,45.000,25.2,45.000,24.1,45.000,30.0
50.000,26.7,50.000,25.7,50.000,24.1,50.000,30.9
55.000,27.9,55.000,26.3,55.000,24.1,55.000,31.9
60.000,29.1,60.000,26.9,60.000,24.1,60.000,32.8
65.000,30.3,65.000,27.5,65.000,24.2,65.000,33.8
70.000,31.5,70.000,28.0,70.000,24.8,70.000,34.8
75.000,32.6,75.000,28.5,75.000,25.7,75.000,35.7
80.000,33.7,80.000,29.1,80.000,26.8,80.000,36.7
85.000,34.7,85.000,29.5,85.000,27.9,85.000,37.6
90.000,35.7,90.000,30.0,90.000,29.2,90.000,38.5
95.000,36.6,95.000,30.5,95.000,30.4,95.000,39.4
100.000,37.4,100.000,30.9,100.000,31.6,100.000,40.2
105.000,38.2,105.000,31.4,105.000,32.7,105.000,41.0
110.000,39.0,110.000,31.8,110.000,33.9,110.000,41.9
115.000,39.8,115.000,32.1,115.000,35.0,115.000,42.7
120.000,40.5,120.000,32.5,120.000,36.1,120.000,43.4
125.000,41.2,125.000,32.9,125.000,37.1,125.000,44.2
130.000,41.9,130.000,33.2,130.000,38.2,130.000,44.9
135.000,42.5,135.000,33.6,135.000,39.2,135.000,45.7
140.000,43.2,140.000,33.9,140.000,40.2,140.000,46.4
145.000,43.8,145.000,34.2,145.000,41.1,145.000,47.1
150.000,44.3,150.000,34.5,150.000,42.0,150.000,47.8
155.000,44.9,155.000,34.8,155.000,42.9,155.000,48.4
160.000,45.4,160.000,35.1,160.000,43.8,160.000,49.1
165.000,45.9,165.000,35.4,165.000,44.7,165.000,49.7
170.000,46.4,170.000,35.6,170.000,45.5,170.000,50.4
175.000,46.9,175.000,35.9,175.000,46.3,175.000,51.0
180.000,47.4,180.000,36.1,180.000,47.1,180.000,51.6
185.000,47.8,185.000,36.4,185.000,47.9,185.000,52.2
190.000,48.2,190.000,36.6,190.000,48.7,190.000,52.8
195.000,48.6,195.000,36.8,195.000,49.4,195.000,53.3
200.000,48.9,200.000,37.0,200.000,50.1,200.000,53.9
205.000,49.3,205.000,37.2,205.000,50.8,205.000,54.4
210.000,49.6,210.000,37.4,210.000,51.5,210.000,55.0
215.000,49.9,215.000,37.5,215.000,52.2,215.000,55.5
220.000,50.3,220.000,37.7,220.000,52.8,220.000,56.0
225.000,50.7,225.000,37.9,225.000,53.4,225.000,56.5
230.000,50.9,230.000,38.1,230.000,54.1,230.000,57.0
235.000,51.2,235.000,38.3,235.000,54.7,235.000,57.5
240.000,51.5,240.000,38.5,240.000,55.3,240.000,58.0
245.000,51.8,245.000,38.6,245.000,55.9,245.000,58.5
250.000,52.0,250.000,38.8,250.000,56.4,250.000,59.0
255.000,52.3,255.000,39.0,255.000,57.0,255.000,59.4
260.000,52.5,260.000,39.1,260.000,57.5,260.000,59.9
265.000,52.8,265.000,39.2,265.000,58.1,265.000,60.3
270.000,53.0,270.000,39.4,270.000,58.6,270.000,60.8
275.000,53.2,275.000,39.5,275.000,59.1,275.000,61.2
280.000,53.4,280.000,39.6,280.000,59.6,280.000,61.6
