"Date and Time Run #9","Time (s) Run #9","Position (m) Run #9","Velocity (m/s) Run #9","Acceleration (m/s²) Run #9","Ping Echo Time (s) Run #9","Date and Time Run #10","Time (s) Run #10","Position (m) Run #10","Velocity (m/s) Run #10","Acceleration (m/s²) Run #10","Ping Echo Time (s) Run #10","Date and Time Run #11","Time (s) Run #11","Position (m) Run #11","Velocity (m/s) Run #11","Acceleration (m/s²) Run #11","Ping Echo Time (s) Run #11","Date and Time Run #12","Time (s) Run #12","Position (m) Run #12","Velocity (m/s) Run #12","Acceleration (m/s²) Run #12","Ping Echo Time (s) Run #12","Date and Time Run #13","Time (s) Run #13","Position (m) Run #13","Velocity (m/s) Run #13","Acceleration (m/s²) Run #13","Ping Echo Time (s) Run #13","Date and Time Run #14","Time (s) Run #14","Position (m) Run #14","Velocity (m/s) Run #14","Acceleration (m/s²) Run #14","Ping Echo Time (s) Run #14","Date and Time Run #15","Time (s) Run #15","Position (m) Run #15","Velocity (m/s) Run #15","Acceleration (m/s²) Run #15","Ping Echo Time (s) Run #15","Date and Time Run #16","Time (s) Run #16","Position (m) Run #16","Velocity (m/s) Run #16","Acceleration (m/s²) Run #16","Ping Echo Time (s) Run #16","Date and Time Run #17","Time (s) Run #17","Position (m) Run #17","Velocity (m/s) Run #17","Acceleration (m/s²) Run #17","Ping Echo Time (s) Run #17","Date and Time Run #18","Time (s) Run #18","Position (m) Run #18","Velocity (m/s) Run #18","Acceleration (m/s²) Run #18","Ping Echo Time (s) Run #18","Date and Time Run #19","Time (s) Run #19","Position (m) Run #19","Velocity (m/s) Run #19","Acceleration (m/s²) Run #19","Ping Echo Time (s) Run #19","Date and Time Run #20","Time (s) Run #20","Position (m) Run #20","Velocity (m/s) Run #20","Acceleration (m/s²) Run #20","Ping Echo Time (s) Run #20","Date and Time Run #21","Time (s) Run #21","Position (m) Run #21","Velocity (m/s) Run #21","Acceleration (m/s²) Run #21","Ping Echo Time (s) Run #21","Date and Time Run #22","Time (s) Run #22","Position (m) Run #22","Velocity (m/s) Run #22","Acceleration (m/s²) Run #22","Ping Echo Time (s) Run #22","Date and Time Run #23","Time (s) Run #23","Position (m) Run #23","Velocity (m/s) Run #23","Acceleration (m/s²) Run #23","Ping Echo Time (s) Run #23","Date and Time Run #24","Time (s) Run #24","Position (m) Run #24","Velocity (m/s) Run #24","Acceleration (m/s²) Run #24","Ping Echo Time (s) Run #24","Date and Time Run #25","Time (s) Run #25","Position (m) Run #25","Velocity (m/s) Run #25","Acceleration (m/s²) Run #25","Ping Echo Time (s) Run #25","Date and Time Run #26","Time (s) Run #26","Position (m) Run #26","Velocity (m/s) Run #26","Acceleration (m/s²) Run #26","Ping Echo Time (s) Run #26","Date and Time Run #27","Time (s) Run #27","Position (m) Run #27","Velocity (m/s) Run #27","Acceleration (m/s²) Run #27","Ping Echo Time (s) Run #27","Date and Time Run #28","Time (s) Run #28","Position (m) Run #28","Velocity (m/s) Run #28","Acceleration (m/s²) Run #28","Ping Echo Time (s) Run #28"
10/28/2025 09:16:27 am,0.000,0.62,,,0.003582,10/28/2025 09:19:56 am,0.000,0.66,,,0.003855,10/28/2025 09:21:32 am,0.000,0.67,,,0.003907,10/28/2025 09:22:52 am,0.000,0.60,,,0.003487,10/28/2025 09:24:03 am,0.000,0.65,,,0.003768,10/28/2025 09:25:19 am,0.000,0.66,,,0.003842,10/28/2025 09:26:47 am,0.000,0.62,,,0.003579,10/28/2025 09:27:56 am,0.000,0.68,,,0.003935,10/28/2025 09:29:21 am,0.000,0.67,,,0.003888,10/28/2025 09:30:27 am,0.000,0.65,,,0.003784,10/28/2025 09:32:01 am,0.000,0.64,,,0.003729,10/28/2025 09:37:01 am,0.000,0.64,,,0.003745,10/28/2025 09:38:16 am,0.000,0.61,,,0.003564,10/28/2025 09:41:56 am,0.000,0.68,,,0.003974,10/28/2025 09:43:04 am,0.000,0.67,,,0.003872,10/28/2025 09:44:13 am,0.000,0.65,,,0.003800,10/28/2025 09:46:25 am,0.000,0.61,,,0.003526,10/28/2025 09:47:36 am,0.000,0.67,,,0.003879,10/28/2025 09:49:07 am,0.000,0.65,,,0.003777,10/28/2025 09:50:16 am,0.000,0.67,,,0.003885
10/28/2025 09:16:27 am,0.040,0.62,0.20,,0.003623,10/28/2025 09:19:56 am,0.040,0.65,-0.32,,0.003790,10/28/2025 09:21:32 am,0.040,0.66,-0.37,,0.003809,10/28/2025 09:22:52 am,0.040,0.60,0.08,,0.003496,10/28/2025 09:24:03 am,0.040,0.66,0.24,,0.003811,10/28/2025 09:25:19 am,0.040,0.65,-0.29,,0.003776,10/28/2025 09:26:47 am,0.040,0.62,0.25,,0.003632,10/28/2025 09:27:56 am,0.040,0.68,-0.11,,0.003950,10/28/2025 09:29:21 am,0.040,0.68,0.13,,0.003934,10/28/2025 09:30:27 am,0.040,0.66,0.17,,0.003829,10/28/2025 09:32:01 am,0.040,0.65,0.21,,0.003785,10/28/2025 09:37:01 am,0.040,0.66,0.32,,0.003825,10/28/2025 09:38:16 am,0.040,0.61,-0.15,,0.003522,10/28/2025 09:41:56 am,0.040,0.69,0.08,,0.004013,10/28/2025 09:43:04 am,0.040,0.66,-0.36,,0.003838,10/28/2025 09:44:13 am,0.040,0.64,-0.28,,0.003736,10/28/2025 09:46:25 am,0.040,0.61,0.20,,0.003567,10/28/2025 09:47:36 am,0.040,0.66,-0.11,,0.003857,10/28/2025 09:49:07 am,0.040,0.65,0.08,,0.003804,10/28/2025 09:50:16 am,0.040,0.67,0.04,,0.003891
10/28/2025 09:16:27 am,0.080,0.63,0.22,0.40,0.003673,10/28/2025 09:19:56 am,0.080,0.64,-0.29,0.75,0.003708,10/28/2025 09:21:32 am,0.080,0.64,-0.34,0.78,0.003735,10/28/2025 09:22:52 am,0.080,0.61,0.15,1.71,0.003524,10/28/2025 09:24:03 am,0.080,0.67,0.19,-1.22,0.003881,10/28/2025 09:25:19 am,0.080,0.64,-0.29,0.33,0.003708,10/28/2025 09:26:47 am,0.080,0.64,0.27,0.30,0.003697,10/28/2025 09:27:56 am,0.080,0.67,-0.19,-1.45,0.003883,10/28/2025 09:29:21 am,0.080,0.68,0.05,-1.97,0.003948,10/28/2025 09:30:27 am,0.080,0.66,0.15,-0.91,0.003863,10/28/2025 09:32:01 am,0.080,0.66,0.17,-1.10,0.003829,10/28/2025 09:37:01 am,0.080,0.67,0.26,-1.49,0.003892,10/28/2025 09:38:16 am,0.080,0.60,-0.07,1.97,0.003495,10/28/2025 09:41:56 am,0.080,0.69,-0.04,-2.79,0.004011,10/28/2025 09:43:04 am,0.080,0.64,-0.21,2.42,0.003704,10/28/2025 09:44:13 am,0.080,0.63,-0.26,0.49,0.003672,10/28/2025 09:46:25 am,0.080,0.62,0.24,0.78,0.003618,10/28/2025 09:47:36 am,0.080,0.66,-0.14,-0.84,0.003830,10/28/2025 09:49:07 am,0.080,0.66,0.06,-0.58,0.003813,10/28/2025 09:50:16 am,0.080,0.67,-0.03,-1.82,0.003904
10/28/2025 09:16:27 am,0.120,0.64,0.23,-0.04,0.003728,10/28/2025 09:19:56 am,0.120,0.63,-0.26,0.99,0.003657,10/28/2025 09:21:32 am,0.120,0.63,-0.31,0.98,0.003658,10/28/2025 09:22:52 am,0.120,0.61,0.22,1.23,0.003564,10/28/2025 09:24:03 am,0.120,0.67,0.15,-1.43,0.003908,10/28/2025 09:25:19 am,0.120,0.62,-0.26,0.82,0.003632,10/28/2025 09:26:47 am,0.120,0.65,0.28,-0.15,0.003760,10/28/2025 09:27:56 am,0.120,0.66,-0.23,-0.67,0.003838,10/28/2025 09:29:21 am,0.120,0.68,-0.03,-1.79,0.003944,10/28/2025 09:30:27 am,0.120,0.67,0.10,-1.36,0.003905,10/28/2025 09:32:01 am,0.120,0.66,0.13,-1.18,0.003865,10/28/2025 09:37:01 am,0.120,0.68,0.20,-1.88,0.003949,10/28/2025 09:38:16 am,0.120,0.60,0.01,1.94,0.003487,10/28/2025 09:41:56 am,0.120,0.69,-0.14,-2.25,0.003986,10/28/2025 09:43:04 am,0.120,0.64,-0.17,0.89,0.003733,10/28/2025 09:44:13 am,0.120,0.62,-0.24,0.88,0.003610,10/28/2025 09:46:25 am,0.120,0.63,0.26,0.30,0.003679,10/28/2025 09:47:36 am,0.120,0.65,-0.17,-0.59,0.003792,10/28/2025 09:49:07 am,0.120,0.66,0.03,-0.80,0.003833,10/28/2025 09:50:16 am,0.120,0.67,-0.10,-1.59,0.003884
10/28/2025 09:16:27 am,0.160,0.65,0.22,-0.46,0.003784,10/28/2025 09:19:56 am,0.160,0.62,-0.20,1.21,0.003586,10/28/2025 09:21:32 am,0.160,0.62,-0.27,1.33,0.003583,10/28/2025 09:22:52 am,0.160,0.62,0.26,0.69,0.003631,10/28/2025 09:24:03 am,0.160,0.68,0.08,-1.57,0.003933,10/28/2025 09:25:19 am,0.160,0.62,-0.22,1.31,0.003584,10/28/2025 09:26:47 am,0.160,0.66,0.26,-0.70,0.003825,10/28/2025 09:27:56 am,0.160,0.65,-0.23,-0.15,0.003787,10/28/2025 09:29:21 am,0.160,0.68,-0.09,-1.63,0.003949,10/28/2025 09:30:27 am,0.160,0.67,0.03,-1.59,0.003915,10/28/2025 09:32:01 am,0.160,0.67,0.08,-1.27,0.003889,10/28/2025 09:37:01 am,0.160,0.69,0.11,-2.16,0.003989,10/28/2025 09:38:16 am,0.160,0.60,0.09,1.79,0.003502,10/28/2025 09:41:56 am,0.160,0.68,-0.22,-1.78,0.003942,10/28/2025 09:43:04 am,0.160,0.63,-0.16,0.09,0.003680,10/28/2025 09:44:13 am,0.160,0.61,-0.19,1.26,0.003559,10/28/2025 09:46:25 am,0.160,0.64,0.26,-0.20,0.003744,10/28/2025 09:47:36 am,0.160,0.64,-0.19,-0.29,0.003745,10/28/2025 09:49:07 am,0.160,0.66,0.00,-0.93,0.003834,10/28/2025 09:50:16 am,0.160,0.66,-0.17,-1.15,0.003853
10/28/2025 09:16:27 am,0.200,0.66,0.19,-0.85,0.003831,10/28/2025 09:19:56 am,0.200,0.61,-0.16,1.41,0.003555,10/28/2025 09:21:32 am,0.200,0.61,-0.21,1.73,0.003530,10/28/2025 09:22:52 am,0.200,0.64,0.27,0.13,0.003692,10/28/2025 09:24:03 am,0.200,0.68,0.01,-1.64,0.003961,10/28/2025 09:25:19 am,0.200,0.61,-0.16,1.69,0.003537,10/28/2025 09:26:47 am,0.200,0.67,0.22,-1.29,0.003893,10/28/2025 09:27:56 am,0.200,0.64,-0.23,0.22,0.003728,10/28/2025 09:29:21 am,0.200,0.67,-0.16,-1.42,0.003896,10/28/2025 09:30:27 am,0.200,0.67,-0.04,-1.53,0.003914,10/28/2025 09:32:01 am,0.200,0.67,0.02,-1.33,0.003902,10/28/2025 09:37:01 am,0.200,0.69,0.02,-2.28,0.004002,10/28/2025 09:38:16 am,0.200,0.61,0.16,1.50,0.003530,10/28/2025 09:41:56 am,0.200,0.67,-0.28,-1.29,0.003883,10/28/2025 09:43:04 am,0.200,0.62,-0.20,0.25,0.003628,10/28/2025 09:44:13 am,0.200,0.61,-0.13,1.59,0.003519,10/28/2025 09:46:25 am,0.200,0.65,0.24,-0.69,0.003804,10/28/2025 09:47:36 am,0.200,0.64,-0.20,0.09,0.003700,10/28/2025 09:49:07 am,0.200,0.66,-0.05,-0.89,0.003827,10/28/2025 09:50:16 am,0.200,0.65,-0.20,-0.58,0.003798
10/28/2025 09:16:27 am,0.240,0.67,0.15,-1.17,0.003874,10/28/2025 09:19:56 am,0.240,0.61,-0.09,1.65,0.003524,10/28/2025 09:21:32 am,0.240,0.60,-0.12,2.08,0.003488,10/28/2025 09:22:52 am,0.240,0.65,0.26,-0.35,0.003756,10/28/2025 09:24:03 am,0.240,0.68,-0.05,-1.55,0.003938,10/28/2025 09:25:19 am,0.240,0.60,-0.08,1.86,0.003494,10/28/2025 09:26:47 am,0.240,0.68,0.16,-1.72,0.003934,10/28/2025 09:27:56 am,0.240,0.63,-0.22,0.57,0.003676,10/28/2025 09:29:21 am,0.240,0.66,-0.21,-1.12,0.003866,10/28/2025 09:30:27 am,0.240,0.67,-0.10,-1.30,0.003898,10/28/2025 09:32:01 am,0.240,0.67,-0.03,-1.30,0.003902,10/28/2025 09:37:01 am,0.240,0.69,-0.08,-2.21,0.003995,10/28/2025 09:38:16 am,0.240,0.62,0.21,1.11,0.003579,10/28/2025 09:41:56 am,0.240,0.66,-0.33,-0.69,0.003809,10/28/2025 09:43:04 am,0.240,0.62,-0.16,0.85,0.003585,10/28/2025 09:44:13 am,0.240,0.60,-0.06,1.83,0.003494,10/28/2025 09:46:25 am,0.240,0.66,0.21,-1.13,0.003860,10/28/2025 09:47:36 am,0.240,0.63,-0.18,0.49,0.003655,10/28/2025 09:49:07 am,0.240,0.66,-0.08,-0.72,0.003814,10/28/2025 09:50:16 am,0.240,0.65,-0.21,-0.10,0.003753
10/28/2025 09:16:27 am,0.280,0.67,0.09,-1.41,0.003903,10/28/2025 09:19:56 am,0.280,0.60,-0.03,1.93,0.003496,10/28/2025 09:21:32 am,0.280,0.60,-0.04,2.25,0.003468,10/28/2025 09:22:52 am,0.280,0.66,0.24,-0.79,0.003818,10/28/2025 09:24:03 am,0.280,0.67,-0.12,-1.45,0.003912,10/28/2025 09:25:19 am,0.280,0.60,6.43E-4,1.80,0.003504,10/28/2025 09:26:47 am,0.280,0.68,0.08,-1.92,0.003963,10/28/2025 09:27:56 am,0.280,0.62,-0.18,0.96,0.003625,10/28/2025 09:29:21 am,0.280,0.66,-0.25,-0.61,0.003809,10/28/2025 09:30:27 am,0.280,0.67,-0.14,-1.00,0.003867,10/28/2025 09:32:01 am,0.280,0.67,-0.08,-1.17,0.003887,10/28/2025 09:37:01 am,0.280,0.68,-0.16,-1.97,0.003967,10/28/2025 09:38:16 am,0.280,0.62,0.25,0.68,0.003631,10/28/2025 09:41:56 am,0.280,0.64,-0.34,0.03,0.003723,10/28/2025 09:43:04 am,0.280,0.61,-0.11,1.37,0.003552,10/28/2025 09:44:13 am,0.280,0.60,0.02,1.91,0.003487,10/28/2025 09:46:25 am,0.280,0.67,0.15,-1.48,0.003904,10/28/2025 09:47:36 am,0.280,0.62,-0.16,0.85,0.003603,10/28/2025 09:49:07 am,0.280,0.65,-0.10,-0.53,0.003787,10/28/2025 09:50:16 am,0.280,0.64,-0.20,0.24,0.003703
10/28/2025 09:16:27 am,0.320,0.67,0.03,-1.55,0.003917,10/28/2025 09:19:56 am,0.320,0.60,0.06,1.95,0.003514,10/28/2025 09:21:32 am,0.320,0.60,0.06,2.22,0.003472,10/28/2025 09:22:52 am,0.320,0.67,0.20,-1.22,0.003872,10/28/2025 09:24:03 am,0.320,0.67,-0.17,-1.31,0.003911,10/28/2025 09:25:19 am,0.320,0.60,0.07,1.68,0.003507,10/28/2025 09:26:47 am,0.320,0.68,0.00,-1.96,0.003974,10/28/2025 09:27:56 am,0.320,0.62,-0.14,1.28,0.003586,10/28/2025 09:29:21 am,0.320,0.64,-0.27,0.04,0.003738,10/28/2025 09:30:27 am,0.320,0.66,-0.18,-0.68,0.003829,10/28/2025 09:32:01 am,0.320,0.66,-0.13,-0.95,0.003862,10/28/2025 09:37:01 am,0.320,0.67,-0.24,-1.59,0.003918,10/28/2025 09:38:16 am,0.320,0.64,0.27,0.21,0.003695,10/28/2025 09:41:56 am,0.320,0.63,-0.33,0.73,0.003643,10/28/2025 09:43:04 am,0.320,0.61,-0.05,1.52,0.003534,10/28/2025 09:44:13 am,0.320,0.60,0.10,1.80,0.003502,10/28/2025 09:46:25 am,0.320,0.68,0.08,-1.71,0.003933,10/28/2025 09:47:36 am,0.320,0.62,-0.12,1.10,0.003584,10/28/2025 09:49:07 am,0.320,0.65,-0.12,-0.39,0.003758,10/28/2025 09:50:16 am,0.320,0.63,-0.19,0.54,0.003656
10/28/2025 09:16:27 am,0.360,0.67,-0.03,-1.56,0.003918,10/28/2025 09:19:56 am,0.360,0.61,0.15,1.69,0.003525,10/28/2025 09:21:32 am,0.360,0.60,0.15,2.04,0.003495,10/28/2025 09:22:52 am,0.360,0.67,0.14,-1.58,0.003917,10/28/2025 09:24:03 am,0.360,0.66,-0.23,-0.99,0.003821,10/28/2025 09:25:19 am,0.360,0.61,0.13,1.58,0.003524,10/28/2025 09:26:47 am,0.360,0.68,-0.08,-1.86,0.003960,10/28/2025 09:27:56 am,0.360,0.61,-0.08,1.48,0.003561,10/28/2025 09:29:21 am,0.360,0.63,-0.25,0.66,0.003676,10/28/2025 09:30:27 am,0.360,0.65,-0.20,-0.37,0.003782,10/28/2025 09:32:01 am,0.360,0.66,-0.16,-0.69,0.003827,10/28/2025 09:37:01 am,0.360,0.66,-0.29,-1.09,0.003853,10/28/2025 09:38:16 am,0.360,0.65,0.27,-0.30,0.003760,10/28/2025 09:41:56 am,0.360,0.61,-0.28,1.31,0.003569,10/28/2025 09:43:04 am,0.360,0.61,0.02,1.53,0.003529,10/28/2025 09:44:13 am,0.360,0.61,0.16,1.53,0.003535,10/28/2025 09:46:25 am,0.360,0.68,0.01,-1.81,0.003943,10/28/2025 09:47:36 am,0.360,0.61,-0.07,1.32,0.003551,10/28/2025 09:49:07 am,0.360,0.64,-0.14,-0.20,0.003739,10/28/2025 09:50:16 am,0.360,0.62,-0.16,0.83,0.003612
