"Time (s) Run #1","Position (m) Run #1","Velocity (m/s) Run #1","Acceleration (m/s²) Run #1","Time (s) Run #2","Position (m) Run #2","Velocity (m/s) Run #2","Acceleration (m/s²) Run #2","Time (s) Run #3","Position (m) Run #3","Velocity (m/s) Run #3","Acceleration (m/s²) Run #3","Time (s) Run #4","Position (m) Run #4","Velocity (m/s) Run #4","Acceleration (m/s²) Run #4","Time (s) Run #5","Position (m) Run #5","Velocity (m/s) Run #5","Acceleration (m/s²) Run #5","Time (s) Run #6","Position (m) Run #6","Velocity (m/s) Run #6","Acceleration (m/s²) Run #6","Time (s) Run #7","Position (m) Run #7","Velocity (m/s) Run #7","Acceleration (m/s²) Run #7","Time (s) Run #8","Position (m) Run #8","Velocity (m/s) Run #8","Acceleration (m/s²) Run #8","Time (s) Run #9","Position (m) Run #9","Velocity (m/s) Run #9","Acceleration (m/s²) Run #9","Time (s) Run #10","Position (m) Run #10","Velocity (m/s) Run #10","Acceleration (m/s²) Run #10","Time (s) Run #11","Position (m) Run #11","Velocity (m/s) Run #11","Acceleration (m/s²) Run #11","Time (s) Run #12","Position (m) Run #12","Velocity (m/s) Run #12","Acceleration (m/s²) Run #12","Time (s) Run #13","Position (m) Run #13","Velocity (m/s) Run #13","Acceleration (m/s²) Run #13","Time (s) Run #14","Position (m) Run #14","Velocity (m/s) Run #14","Acceleration (m/s²) Run #14","Time (s) Run #15","Position (m) Run #15","Velocity (m/s) Run #15","Acceleration (m/s²) Run #15","Time (s) Run #16","Position (m) Run #16","Velocity (m/s) Run #16","Acceleration (m/s²) Run #16","Time (s) Run #17","Position (m) Run #17","Velocity (m/s) Run #17","Acceleration (m/s²) Run #17","Time (s) Run #18","Position (m) Run #18","Velocity (m/s) Run #18","Acceleration (m/s²) Run #18","Time (s) Run #19","Position (m) Run #19","Velocity (m/s) Run #19","Acceleration (m/s²) Run #19"
0.000,0.58,,,0.000,0.58,,,0.000,0.58,,,0.000,0.59,,,0.000,0.64,,,0.000,0.66,,,0.000,0.64,,,0.000,0.61,,,0.000,0.59,,,0.000,0.67,,,0.000,0.59,,,0.000,0.60,,,0.000,0.58,,,0.000,0.67,,,0.000,0.64,,,0.000,0.59,,,0.000,0.57,,,0.000,0.67,,,0.000,0.59,,
0.040,0.57,-0.20,,0.040,0.57,-0.17,,0.040,0.59,0.16,,0.040,0.58,-0.10,,0.040,0.64,-0.24,,0.040,0.66,-0.07,,0.040,0.64,-0.23,,0.040,0.62,0.26,,0.040,0.60,0.20,,0.040,0.67,0.03,,0.040,0.59,-0.03,,0.040,0.61,0.30,,0.040,0.58,0.01,,0.040,0.66,-0.19,,0.040,0.65,0.22,,0.040,0.59,0.07,,0.040,0.57,-0.01,,0.040,0.67,0.09,,0.040,0.60,0.23,
0.080,0.56,-0.08,2.87,0.080,0.57,-0.02,3.22,0.080,0.60,0.20,1.06,0.080,0.58,-0.02,1.87,0.080,0.63,-0.24,0.11,0.080,0.66,-0.14,-1.55,0.080,0.63,-0.24,-0.03,0.080,0.63,0.24,-0.61,0.080,0.61,0.22,0.39,0.080,0.67,-0.04,-1.88,0.080,0.59,0.04,1.76,0.080,0.62,0.31,0.10,0.080,0.58,0.08,1.79,0.080,0.65,-0.24,-1.15,0.080,0.66,0.16,-1.61,0.080,0.59,0.12,1.30,0.080,0.57,0.08,2.18,0.080,0.67,-0.01,-2.25,0.080,0.61,0.26,0.52
0.120,0.56,0.03,2.75,0.120,0.57,0.09,2.44,0.120,0.60,0.24,0.67,0.120,0.58,0.05,1.76,0.120,0.62,-0.23,0.37,0.120,0.65,-0.19,-1.13,0.120,0.62,-0.23,0.37,0.120,0.64,0.21,-1.03,0.120,0.62,0.23,0.07,0.120,0.67,-0.12,-1.89,0.120,0.59,0.11,1.48,0.120,0.63,0.31,-0.49,0.120,0.59,0.15,1.54,0.120,0.64,-0.29,-0.77,0.120,0.66,0.09,-1.76,0.120,0.60,0.17,1.01,0.120,0.58,0.16,1.90,0.120,0.67,-0.09,-2.07,0.120,0.62,0.27,0.05
0.160,0.56,0.14,2.53,0.160,0.58,0.17,1.79,0.160,0.61,0.26,0.25,0.160,0.58,0.12,1.58,0.160,0.61,-0.22,0.68,0.160,0.64,-0.23,-0.76,0.160,0.61,-0.21,0.73,0.160,0.65,0.16,-1.32,0.160,0.63,0.23,-0.24,0.160,0.66,-0.21,-1.63,0.160,0.59,0.16,1.16,0.160,0.65,0.28,-1.10,0.160,0.59,0.21,1.17,0.160,0.63,-0.31,-0.25,0.160,0.66,0.02,-1.84,0.160,0.61,0.21,0.67,0.160,0.59,0.24,1.53,0.160,0.66,-0.17,-1.82,0.160,0.63,0.27,-0.46
0.200,0.57,0.24,2.17,0.200,0.58,0.22,1.36,0.200,0.63,0.26,-0.22,0.200,0.59,0.18,1.30,0.200,0.60,-0.18,1.02,0.200,0.63,-0.26,-0.36,0.200,0.60,-0.17,1.02,0.200,0.66,0.10,-1.49,0.200,0.64,0.21,-0.58,0.200,0.65,-0.26,-1.13,0.200,0.60,0.20,0.82,0.200,0.66,0.22,-1.67,0.200,0.60,0.25,0.69,0.200,0.61,-0.31,0.36,0.200,0.66,-0.06,-1.79,0.200,0.62,0.23,0.30,0.200,0.60,0.29,1.04,0.200,0.66,-0.24,-1.47,0.200,0.64,0.23,-0.93
0.240,0.58,0.32,1.66,0.240,0.60,0.28,1.00,0.240,0.64,0.24,-0.68,0.240,0.60,0.23,0.92,0.240,0.59,-0.13,1.30,0.240,0.62,-0.26,0.19,0.240,0.59,-0.12,1.28,0.240,0.66,0.04,-1.59,0.240,0.65,0.19,-0.95,0.240,0.64,-0.29,-0.60,0.240,0.61,0.23,0.47,0.240,0.66,0.14,-2.01,0.240,0.61,0.26,0.22,0.240,0.60,-0.28,0.93,0.240,0.66,-0.13,-1.61,0.240,0.62,0.23,-0.10,0.240,0.61,0.32,0.48,0.240,0.64,-0.29,-1.01,0.240,0.65,0.18,-1.26
0.280,0.60,0.37,1.04,0.280,0.61,0.31,0.58,0.280,0.65,0.21,-1.10,0.280,0.61,0.26,0.47,0.280,0.59,-0.07,1.48,0.280,0.61,-0.24,0.76,0.280,0.59,-0.07,1.52,0.280,0.66,-0.03,-1.64,0.280,0.65,0.14,-1.29,0.280,0.63,-0.31,-0.10,0.280,0.62,0.24,0.07,0.280,0.67,0.05,-2.05,0.280,0.63,0.26,-0.21,0.280,0.59,-0.23,1.38,0.280,0.65,-0.19,-1.34,0.280,0.63,0.22,-0.53,0.280,0.62,0.33,-0.08,0.280,0.63,-0.33,-0.44,0.280,0.66,0.13,-1.44
0.320,0.61,0.40,0.34,0.320,0.62,0.32,0.01,0.320,0.65,0.15,-1.42,0.320,0.62,0.27,0.01,0.320,0.59,-0.01,1.53,0.320,0.60,-0.20,1.17,0.320,0.59,0.00,1.63,0.320,0.66,-0.10,-1.55,0.320,0.66,0.08,-1.54,0.320,0.61,-0.30,0.39,0.320,0.63,0.24,-0.40,0.320,0.67,-0.03,-1.88,0.320,0.64,0.25,-0.62,0.320,0.58,-0.17,1.71,0.320,0.64,-0.24,-0.97,0.320,0.64,0.19,-0.95,0.320,0.64,0.31,-0.62,0.320,0.62,-0.33,0.19,0.320,0.66,0.07,-1.60
0.360,0.63,0.40,-0.39,0.360,0.63,0.31,-0.58,0.360,0.66,0.09,-1.62,0.360,0.63,0.26,-0.45,0.360,0.59,0.05,1.48,0.360,0.59,-0.14,1.36,0.360,0.59,0.07,1.51,0.360,0.65,-0.16,-1.26,0.360,0.66,0.01,-1.65,0.360,0.60,-0.28,0.89,0.360,0.64,0.21,-0.90,0.360,0.66,-0.10,-1.68,0.360,0.65,0.21,-1.00,0.360,0.58,-0.09,1.91,0.360,0.63,-0.27,-0.52,0.360,0.65,0.14,-1.27,0.360,0.65,0.28,-1.12,0.360,0.60,-0.31,0.80,0.360,0.66,0.00,-1.73
