"Time (s) Run #1","Position (m) Run #1","Velocity (m/s) Run #1","Acceleration (m/s²) Run #1","Time (s) Run #2","Position (m) Run #2","Velocity (m/s) Run #2","Acceleration (m/s²) Run #2","Time (s) Run #3","Position (m) Run #3","Velocity (m/s) Run #3","Acceleration (m/s²) Run #3","Time (s) Run #4","Position (m) Run #4","Velocity (m/s) Run #4","Acceleration (m/s²) Run #4","Time (s) Run #5","Position (m) Run #5","Velocity (m/s) Run #5","Acceleration (m/s²) Run #5","Time (s) Run #6","Position (m) Run #6","Velocity (m/s) Run #6","Acceleration (m/s²) Run #6","Time (s) Run #7","Position (m) Run #7","Velocity (m/s) Run #7","Acceleration (m/s²) Run #7","Time (s) Run #8","Position (m) Run #8","Velocity (m/s) Run #8","Acceleration (m/s²) Run #8","Time (s) Run #9","Position (m) Run #9","Velocity (m/s) Run #9","Acceleration (m/s²) Run #9","Time (s) Run #10","Position (m) Run #10","Velocity (m/s) Run #10","Acceleration (m/s²) Run #10","Time (s) Run #11","Position (m) Run #11","Velocity (m/s) Run #11","Acceleration (m/s²) Run #11","Time (s) Run #12","Position (m) Run #12","Velocity (m/s) Run #12","Acceleration (m/s²) Run #12","Time (s) Run #13","Position (m) Run #13","Velocity (m/s) Run #13","Acceleration (m/s²) Run #13","Time (s) Run #14","Position (m) Run #14","Velocity (m/s) Run #14","Acceleration (m/s²) Run #14","Time (s) Run #15","Position (m) Run #15","Velocity (m/s) Run #15","Acceleration (m/s²) Run #15","Time (s) Run #16","Position (m) Run #16","Velocity (m/s) Run #16","Acceleration (m/s²) Run #16","Time (s) Run #17","Position (m) Run #17","Velocity (m/s) Run #17","Acceleration (m/s²) Run #17","Time (s) Run #18","Position (m) Run #18","Velocity (m/s) Run #18","Acceleration (m/s²) Run #18","Time (s) Run #19","Position (m) Run #19","Velocity (m/s) Run #19","Acceleration (m/s²) Run #19","Time (s) Run #20","Position (m) Run #20","Velocity (m/s) Run #20","Acceleration (m/s²) Run #20"
0.000,0.33,,,0.000,0.29,,,0.000,0.27,,,0.000,0.37,,,0.000,0.30,,,0.000,0.28,,,0.000,0.33,,,0.000,0.36,,,0.000,0.24,,,0.000,0.34,,,0.000,0.34,,,0.000,0.23,,,0.000,0.35,,,0.000,0.36,,,0.000,0.23,,,0.000,0.28,,,0.000,0.37,,,0.000,0.25,,,0.000,0.35,,,0.000,0.37,,
0.040,0.34,0.14,,0.040,0.30,0.34,,0.040,0.26,-0.20,,0.040,0.37,-0.09,,0.040,0.31,0.33,,0.040,0.27,-0.24,,0.040,0.32,-0.29,,0.040,0.35,-0.18,,0.040,0.24,0.14,,0.040,0.34,0.20,,0.040,0.35,0.09,,0.040,0.24,0.19,,0.040,0.34,-0.20,,0.040,0.36,-0.22,,0.040,0.23,-0.09,,0.040,0.27,-0.25,,0.040,0.37,-0.06,,0.040,0.25,-0.16,,0.040,0.36,0.13,,0.040,0.36,-0.11,
0.080,0.35,0.10,-0.97,0.080,0.31,0.33,-0.41,0.080,0.25,-0.16,0.90,0.080,0.36,-0.15,-1.30,0.080,0.32,0.31,-0.63,0.080,0.27,-0.21,0.66,0.080,0.31,-0.30,-0.19,0.080,0.34,-0.21,-0.87,0.080,0.25,0.18,0.94,0.080,0.35,0.15,-1.11,0.080,0.35,0.05,-1.07,0.080,0.25,0.23,0.86,0.080,0.34,-0.23,-0.70,0.080,0.35,-0.26,-0.91,0.080,0.23,-0.03,1.40,0.080,0.26,-0.23,0.72,0.080,0.37,-0.12,-1.35,0.080,0.24,-0.12,1.13,0.080,0.36,0.07,-1.33,0.080,0.36,-0.16,-1.19
0.120,0.35,0.06,-1.01,0.120,0.33,0.31,-0.63,0.120,0.25,-0.12,1.00,0.120,0.36,-0.20,-1.14,0.120,0.34,0.28,-0.81,0.120,0.26,-0.18,0.80,0.120,0.30,-0.31,0.03,0.120,0.34,-0.25,-0.72,0.120,0.26,0.22,0.79,0.120,0.36,0.11,-1.18,0.120,0.35,0.01,-1.07,0.120,0.26,0.26,0.68,0.120,0.33,-0.26,-0.53,0.120,0.34,-0.30,-0.70,0.120,0.23,0.02,1.37,0.120,0.25,-0.20,0.87,0.120,0.36,-0.17,-1.22,0.120,0.24,-0.07,1.17,0.120,0.37,0.02,-1.33,0.120,0.35,-0.21,-1.03
0.160,0.35,0.02,-1.04,0.160,0.34,0.28,-0.85,0.160,0.24,-0.08,1.07,0.160,0.35,-0.24,-0.97,0.160,0.35,0.24,-1.00,0.160,0.25,-0.15,0.93,0.160,0.28,-0.30,0.27,0.160,0.33,-0.27,-0.52,0.160,0.26,0.25,0.61,0.160,0.36,0.06,-1.24,0.160,0.35,-0.04,-1.06,0.160,0.27,0.29,0.47,0.160,0.32,-0.27,-0.34,0.160,0.32,-0.32,-0.47,0.160,0.23,0.08,1.32,0.160,0.25,-0.16,1.00,0.160,0.35,-0.22,-1.07,0.160,0.24,-0.02,1.20,0.160,0.37,-0.03,-1.31,0.160,0.34,-0.25,-0.85
0.200,0.35,-0.03,-1.04,0.200,0.35,0.24,-1.06,0.200,0.24,-0.04,1.11,0.200,0.34,-0.27,-0.77,0.200,0.36,0.20,-1.16,0.200,0.25,-0.11,1.03,0.200,0.27,-0.28,0.51,0.200,0.31,-0.29,-0.30,0.200,0.28,0.27,0.40,0.200,0.36,0.01,-1.26,0.200,0.35,-0.08,-1.01,0.200,0.28,0.30,0.23,0.200,0.30,-0.28,-0.11,0.200,0.31,-0.33,-0.21,0.200,0.23,0.13,1.23,0.200,0.24,-0.12,1.10,0.200,0.34,-0.26,-0.88,0.200,0.24,0.02,1.20,0.200,0.36,-0.09,-1.27,0.200,0.33,-0.28,-0.65
0.240,0.35,-0.07,-0.99,0.240,0.36,0.19,-1.22,0.240,0.24,0.01,1.11,0.240,0.33,-0.30,-0.54,0.240,0.36,0.15,-1.29,0.240,0.24,-0.07,1.09,0.240,0.26,-0.26,0.73,0.240,0.30,-0.29,-0.06,0.240,0.29,0.28,0.18,0.240,0.36,-0.04,-1.24,0.240,0.35,-0.12,-0.92,0.240,0.30,0.31,-0.01,0.240,0.29,-0.28,0.12,0.240,0.30,-0.34,0.06,0.240,0.24,0.18,1.09,0.240,0.24,-0.07,1.17,0.240,0.33,-0.29,-0.66,0.240,0.24,0.07,1.16,0.240,0.36,-0.14,-1.18,0.240,0.32,-0.30,-0.42
0.280,0.34,-0.11,-0.92,0.280,0.37,0.14,-1.34,0.280,0.24,0.05,1.08,0.280,0.31,-0.32,-0.29,0.280,0.37,0.09,-1.37,0.280,0.24,-0.02,1.12,0.280,0.25,-0.22,0.92,0.280,0.29,-0.29,0.16,0.280,0.30,0.28,-0.04,0.280,0.36,-0.09,-1.18,0.280,0.34,-0.15,-0.80,0.280,0.31,0.30,-0.24,0.280,0.28,-0.27,0.33,0.280,0.28,-0.33,0.33,0.280,0.25,0.22,0.93,0.280,0.24,-0.02,1.20,0.280,0.32,-0.31,-0.42,0.280,0.24,0.12,1.07,0.280,0.35,-0.18,-1.04,0.280,0.31,-0.31,-0.18
0.320,0.34,-0.14,-0.82,0.320,0.37,0.08,-1.42,0.320,0.24,0.10,1.03,0.320,0.30,-0.33,-0.04,0.320,0.37,0.04,-1.42,0.320,0.24,0.03,1.12,0.320,0.24,-0.18,1.08,0.320,0.28,-0.28,0.39,0.320,0.31,0.27,-0.26,0.320,0.35,-0.14,-1.09,0.320,0.33,-0.18,-0.67,0.320,0.32,0.29,-0.46,0.320,0.27,-0.26,0.54,0.320,0.27,-0.31,0.57,0.320,0.26,0.25,0.74,0.320,0.24,0.03,1.19,0.320,0.31,-0.32,-0.17,0.320,0.25,0.16,0.95,0.320,0.34,-0.22,-0.88,0.320,0.29,-0.32,0.08
0.360,0.33,-0.17,-0.70,0.360,0.37,0.02,-1.46,0.360,0.25,0.14,0.93,0.360,0.29,-0.32,0.21,0.360,0.37,-0.02,-1.42,0.360,0.24,0.07,1.08,0.360,0.24,-0.14,1.19,0.360,0.27,-0.26,0.61,0.360,0.32,0.26,-0.46,0.360,0.35,-0.18,-0.96,0.360,0.32,-0.21,-0.52,0.360,0.33,0.26,-0.68,0.360,0.26,-0.23,0.73,0.360,0.26,-0.28,0.80,0.360,0.27,0.28,0.52,0.360,0.24,0.08,1.14,0.360,0.29,-0.32,0.08,0.360,0.25,0.19,0.79,0.360,0.33,-0.25,-0.69,0.360,0.28,-0.31,0.33
0.400,0.33,-0.20,-0.55,0.400,0.37,-0.04,-1.45,0.400,0.26,0.17,0.80,0.400,0.27,-0.31,0.47,0.400,0.37,-0.08,-1.38,0.400,0.25,0.11,1.00,0.400,0.23,-0.09,1.27,0.400,0.26,-0.23,0.81,0.400,0.33,0.24,-0.65,0.400,0.34,-0.22,-0.81,0.400,0.32,-0.23,-0.35,0.400,0.34,0.23,-0.88,0.400,0.25,-0.20,0.89,0.400,0.25,-0.25,1.01,0.400,0.28,0.30,0.29,0.400,0.24,0.12,1.06,0.400,0.28,-0.31,0.32,0.400,0.26,0.22,0.63,0.400,0.32,-0.28,-0.48,0.400,0.27,-0.29,0.57
0.440,0.32,-0.22,-0.39,0.440,0.37,-0.09,-1.40,0.440,0.26,0.20,0.65,0.440,0.26,-0.28,0.71,0.440,0.36,-0.13,-1.30,0.440,0.25,0.15,0.89,0.440,0.23,-0.03,1.32,0.440,0.25,-0.20,0.98,0.440,0.34,0.21,-0.82,0.440,0.33,-0.25,-0.62,0.440,0.31,-0.24,-0.17,0.440,0.35,0.19,-1.05,0.440,0.24,-0.16,1.04,0.440,0.24,-0.20,1.19,0.440,0.29,0.30,0.05,0.440,0.25,0.16,0.95,0.440,0.27,-0.30,0.56,0.440,0.27,0.25,0.44,0.440,0.31,-0.29,-0.26,0.440,0.26,-0.26,0.78
0.480,0.31,-0.23,-0.21,0.480,0.36,-0.15,-1.29,0.480,0.27,0.22,0.48,0.480,0.25,-0.25,0.92,0.480,0.36,-0.18,-1.17,0.480,0.26,0.18,0.75,0.480,0.23,0.02,1.33,0.480,0.24,-0.15,1.12,0.480,0.35,0.17,-0.97,0.480,0.32,-0.27,-0.42,0.480,0.30,-0.24,0.03,0.480,0.36,0.15,-1.18,0.480,0.24,-0.11,1.15,0.480,0.23,-0.15,1.33,0.480,0.30,0.30,-0.18,0.480,0.26,0.20,0.80,0.480,0.26,-0.27,0.79,0.480,0.28,0.26,0.24,0.480,0.30,-0.30,-0.03,0.480,0.25,-0.23,0.96
0.520,0.30,-0.23,-0.02,0.520,0.36,-0.20,-1.15,0.520,0.28,0.24,0.29,0.520,0.24,-0.21,1.09,0.520,0.35,-0.23,-1.00,0.520,0.27,0.21,0.58,0.520,0.23,0.07,1.30,0.520,0.24,-0.11,1.22,0.520,0.35,0.13,-1.09,0.520,0.31,-0.28,-0.20,0.520,0.29,-0.23,0.23,0.520,0.36,0.10,-1.26,0.520,0.24,-0.06,1.22,0.520,0.23,-0.09,1.42,0.520,0.32,0.29,-0.41,0.520,0.26,0.23,0.63,0.520,0.25,-0.23,0.99,0.520,0.29,0.27,0.03,0.520,0.29,-0.29,0.21,0.520,0.24,-0.18,1.13
0.560,0.29,-0.23,0.17,0.560,0.35,-0.24,-0.97,0.560,0.29,0.25,0.10,0.560,0.23,-0.16,1.23,0.560,0.34,-0.27,-0.80,0.560,0.27,0.23,0.40,0.560,0.24,0.12,1.21,0.560,0.23,-0.05,1.28,0.560,0.36,0.08,-1.17,0.560,0.30,-0.28,0.03,0.560,0.28,-0.22,0.41,0.560,0.36,0.04,-1.32,0.560,0.23,-0.01,1.24,0.560,0.22,-0.03,1.47,0.560,0.33,0.27,-0.63,0.560,0.27,0.25,0.44,0.560,0.24,-0.19,1.16,0.560,0.30,0.26,-0.17,0.560,0.28,-0.28,0.44,0.560,0.23,-0.13,1.25
0.600,0.28,-0.22,0.34,0.600,0.34,-0.28,-0.76,0.600,0.30,0.25,-0.10,0.600,0.23,-0.11,1.34,0.600,0.33,-0.29,-0.57,0.600,0.28,0.24,0.21,0.600,0.24,0.17,1.08,0.600,0.23,0.00,1.29,0.600,0.36,0.03,-1.21,0.600,0.29,-0.28,0.25,0.600,0.27,-0.20,0.57,0.600,0.37,-0.01,-1.33,0.600,0.23,0.04,1.22,0.600,0.22,0.02,1.47,0.600,0.34,0.24,-0.82,0.600,0.28,0.26,0.23,0.600,0.23,-0.14,1.29,0.600,0.32,0.25,-0.37,0.600,0.26,-0.26,0.66,0.600,0.23,-0.08,1.33
