"Time (s) Run #1","Position (m) Run #1","Velocity (m/s) Run #1","Acceleration (m/s²) Run #1","Time (s) Run #2","Position (m) Run #2","Velocity (m/s) Run #2","Acceleration (m/s²) Run #2","Time (s) Run #3","Position (m) Run #3","Velocity (m/s) Run #3","Acceleration (m/s²) Run #3","Time (s) Run #4","Position (m) Run #4","Velocity (m/s) Run #4","Acceleration (m/s²) Run #4","Time (s) Run #5","Position (m) Run #5","Velocity (m/s) Run #5","Acceleration (m/s²) Run #5","Time (s) Run #6","Position (m) Run #6","Velocity (m/s) Run #6","Acceleration (m/s²) Run #6","Time (s) Run #7","Position (m) Run #7","Velocity (m/s) Run #7","Acceleration (m/s²) Run #7","Time (s) Run #8","Position (m) Run #8","Velocity (m/s) Run #8","Acceleration (m/s²) Run #8","Time (s) Run #9","Position (m) Run #9","Velocity (m/s) Run #9","Acceleration (m/s²) Run #9","Time (s) Run #10","Position (m) Run #10","Velocity (m/s) Run #10","Acceleration (m/s²) Run #10","Time (s) Run #11","Position (m) Run #11","Velocity (m/s) Run #11","Acceleration (m/s²) Run #11","Time (s) Run #12","Position (m) Run #12","Velocity (m/s) Run #12","Acceleration (m/s²) Run #12","Time (s) Run #13","Position (m) Run #13","Velocity (m/s) Run #13","Acceleration (m/s²) Run #13","Time (s) Run #14","Position (m) Run #14","Velocity (m/s) Run #14","Acceleration (m/s²) Run #14","Time (s) Run #15","Position (m) Run #15","Velocity (m/s) Run #15","Acceleration (m/s²) Run #15","Time (s) Run #16","Position (m) Run #16","Velocity (m/s) Run #16","Acceleration (m/s²) Run #16","Time (s) Run #17","Position (m) Run #17","Velocity (m/s) Run #17","Acceleration (m/s²) Run #17","Time (s) Run #18","Position (m) Run #18","Velocity (m/s) Run #18","Acceleration (m/s²) Run #18","Time (s) Run #19","Position (m) Run #19","Velocity (m/s) Run #19","Acceleration (m/s²) Run #19","Time (s) Run #20","Position (m) Run #20","Velocity (m/s) Run #20","Acceleration (m/s²) Run #20"
0.000,0.40,,,0.000,0.35,,,0.000,0.40,,,0.000,0.25,,,0.000,0.25,,,0.000,0.35,,,0.000,0.38,,,0.000,0.33,,,0.000,0.30,,,0.000,0.37,,,0.000,0.33,,,0.000,0.26,,,0.000,0.37,,,0.000,0.39,,,0.000,0.36,,,0.000,0.37,,,0.000,0.29,,,0.000,0.28,,,0.000,0.27,,,0.000,0.25,,
0.040,0.38,-0.37,,0.040,0.36,0.07,,0.040,0.40,-0.04,,0.040,0.25,-0.09,,0.040,0.26,0.23,,0.040,0.34,-0.28,,0.040,0.39,0.10,,0.040,0.34,0.31,,0.040,0.29,-0.27,,0.040,0.35,-0.31,,0.040,0.34,0.26,,0.040,0.26,-0.15,,0.040,0.36,-0.25,,0.040,0.39,0.02,,0.040,0.35,-0.27,,0.040,0.38,0.28,,0.040,0.28,-0.24,,0.040,0.29,0.22,,0.040,0.28,0.26,,0.040,0.25,0.01,
0.080,0.37,-0.41,-0.83,0.080,0.36,0.05,-0.76,0.080,0.40,-0.10,-1.54,0.080,0.25,-0.02,1.69,0.080,0.27,0.28,1.10,0.080,0.33,-0.29,-0.09,0.080,0.39,0.04,-1.42,0.080,0.35,0.29,-0.66,0.080,0.28,-0.23,1.03,0.080,0.34,-0.33,-0.36,0.080,0.35,0.24,-0.61,0.080,0.25,-0.09,1.55,0.080,0.35,-0.27,-0.50,0.080,0.39,-0.04,-1.36,0.080,0.33,-0.28,-0.18,0.080,0.39,0.22,-1.46,0.080,0.27,-0.20,1.14,0.080,0.30,0.25,0.58,0.080,0.29,0.29,0.65,0.080,0.25,0.07,1.49
0.120,0.35,-0.44,-0.50,0.120,0.36,0.01,-1.00,0.120,0.39,-0.16,-1.42,0.120,0.25,0.04,1.63,0.120,0.28,0.32,0.85,0.120,0.32,-0.29,0.12,0.120,0.39,-0.02,-1.41,0.120,0.36,0.26,-0.84,0.120,0.27,-0.19,1.15,0.120,0.33,-0.34,-0.10,0.120,0.36,0.21,-0.77,0.120,0.25,-0.02,1.57,0.120,0.34,-0.29,-0.26,0.120,0.38,-0.09,-1.29,0.120,0.32,-0.29,0.02,0.120,0.40,0.16,-1.57,0.120,0.27,-0.15,1.24,0.120,0.31,0.27,0.34,0.120,0.30,0.31,0.41,0.120,0.26,0.13,1.38
0.160,0.33,-0.45,-0.15,0.160,0.36,-0.04,-0.94,0.160,0.38,-0.22,-1.26,0.160,0.25,0.11,1.56,0.160,0.30,0.35,0.58,0.160,0.31,-0.28,0.35,0.160,0.39,-0.07,-1.37,0.160,0.37,0.22,-1.02,0.160,0.26,-0.14,1.27,0.160,0.31,-0.34,0.18,0.160,0.37,0.18,-0.92,0.160,0.25,0.04,1.56,0.160,0.32,-0.29,-0.01,0.160,0.38,-0.14,-1.18,0.160,0.31,-0.28,0.25,0.160,0.40,0.09,-1.66,0.160,0.26,-0.10,1.33,0.160,0.32,0.28,0.10,0.160,0.32,0.33,0.15,0.160,0.26,0.18,1.25
0.200,0.31,-0.45,0.22,0.200,0.36,-0.08,-0.64,0.200,0.37,-0.26,-1.05,0.200,0.25,0.17,1.45,0.200,0.31,0.37,0.27,0.200,0.30,-0.26,0.58,0.200,0.39,-0.13,-1.28,0.200,0.38,0.18,-1.19,0.200,0.26,-0.08,1.36,0.200,0.30,-0.32,0.47,0.200,0.37,0.14,-1.06,0.200,0.25,0.10,1.50,0.200,0.31,-0.29,0.24,0.200,0.37,-0.19,-1.04,0.200,0.30,-0.27,0.49,0.200,0.41,0.03,-1.71,0.200,0.26,-0.04,1.39,0.200,0.33,0.27,-0.12,0.200,0.33,0.33,-0.13,0.200,0.27,0.23,1.07
0.240,0.30,-0.44,0.59,0.240,0.35,-0.09,-0.38,0.240,0.36,-0.30,-0.81,0.240,0.26,0.23,1.27,0.240,0.33,0.37,-0.05,0.240,0.29,-0.23,0.80,0.240,0.38,-0.18,-1.16,0.240,0.39,0.13,-1.33,0.240,0.26,-0.03,1.40,0.240,0.29,-0.30,0.74,0.240,0.38,0.09,-1.15,0.240,0.26,0.16,1.38,0.240,0.30,-0.27,0.48,0.240,0.36,-0.23,-0.87,0.240,0.29,-0.24,0.72,0.240,0.40,-0.04,-1.71,0.240,0.26,0.01,1.40,0.240,0.34,0.27,-0.34,0.240,0.34,0.31,-0.40,0.240,0.28,0.27,0.85
0.280,0.28,-0.40,0.95,0.280,0.35,-0.10,-0.39,0.280,0.35,-0.33,-0.54,0.280,0.27,0.27,1.05,0.280,0.34,0.36,-0.37,0.280,0.28,-0.20,0.99,0.280,0.37,-0.22,-1.00,0.280,0.39,0.07,-1.41,0.280,0.26,0.03,1.39,0.280,0.28,-0.26,0.97,0.280,0.38,0.05,-1.21,0.280,0.27,0.21,1.21,0.280,0.29,-0.25,0.70,0.280,0.35,-0.26,-0.66,0.280,0.28,-0.21,0.92,0.280,0.40,-0.11,-1.65,0.280,0.26,0.07,1.36,0.280,0.35,0.25,-0.56,0.280,0.35,0.29,-0.66,0.280,0.29,0.30,0.60
0.320,0.26,-0.36,1.28,0.320,0.35,-0.11,-0.51,0.320,0.34,-0.34,-0.25,0.320,0.28,0.31,0.79,0.320,0.35,0.34,-0.67,0.320,0.27,-0.15,1.15,0.320,0.36,-0.26,-0.79,0.320,0.39,0.01,-1.45,0.320,0.26,0.09,1.34,0.320,0.27,-0.22,1.18,0.320,0.38,0.00,-1.23,0.320,0.27,0.26,1.01,0.320,0.28,-0.22,0.90,0.320,0.34,-0.28,-0.43,0.320,0.27,-0.17,1.07,0.320,0.40,-0.18,-1.53,0.320,0.26,0.12,1.26,0.320,0.36,0.22,-0.76,0.320,0.37,0.26,-0.88,0.320,0.31,0.32,0.34
0.360,0.25,-0.30,1.56,0.360,0.34,-0.14,-0.51,0.360,0.32,-0.35,0.04,0.360,0.30,0.34,0.51,0.360,0.37,0.31,-0.94,0.360,0.26,-0.10,1.25,0.360,0.35,-0.28,-0.56,0.360,0.39,-0.04,-1.44,0.360,0.26,0.14,1.25,0.360,0.26,-0.17,1.35,0.360,0.38,-0.05,-1.21,0.360,0.29,0.30,0.77,0.360,0.27,-0.18,1.06,0.360,0.33,-0.29,-0.19,0.360,0.27,-0.12,1.18,0.360,0.39,-0.24,-1.34,0.360,0.27,0.17,1.13,0.360,0.37,0.19,-0.93,0.360,0.38,0.22,-1.09,0.360,0.32,0.33,0.06
0.400,0.24,-0.23,1.79,0.400,0.34,-0.16,-0.34,0.400,0.31,-0.34,0.33,0.400,0.31,0.35,0.22,0.400,0.38,0.27,-1.17,0.400,0.26,-0.05,1.31,0.400,0.34,-0.30,-0.30,0.400,0.39,-0.10,-1.37,0.400,0.27,0.19,1.10,0.400,0.25,-0.11,1.48,0.400,0.38,-0.10,-1.14,0.400,0.30,0.32,0.50,0.400,0.27,-0.13,1.20,0.400,0.32,-0.30,0.07,0.400,0.26,-0.07,1.26,0.400,0.38,-0.29,-1.11,0.400,0.28,0.21,0.97,0.400,0.37,0.14,-1.07,0.400,0.38,0.17,-1.27,0.400,0.33,0.32,-0.22
0.440,0.23,-0.16,1.97,0.440,0.33,-0.17,-0.13,0.440,0.29,-0.32,0.61,0.440,0.33,0.35,-0.07,0.440,0.39,0.21,-1.38,0.440,0.26,0.00,1.33,0.440,0.33,-0.31,-0.04,0.440,0.38,-0.16,-1.26,0.440,0.28,0.23,0.92,0.440,0.25,-0.05,1.54,0.440,0.37,-0.15,-1.03,0.440,0.31,0.34,0.22,0.440,0.26,-0.08,1.30,0.440,0.31,-0.29,0.32,0.440,0.26,-0.02,1.31,0.440,0.36,-0.33,-0.85,0.440,0.29,0.25,0.77,0.440,0.38,0.10,-1.18,0.440,0.39,0.12,-1.40,0.440,0.35,0.31,-0.48
0.480,0.23,-0.07,2.07,0.480,0.32,-0.17,0.03,0.480,0.28,-0.29,0.88,0.480,0.34,0.35,-0.36,0.480,0.40,0.16,-1.54,0.480,0.26,0.05,1.31,0.480,0.31,-0.31,0.21,0.480,0.38,-0.20,-1.11,0.480,0.29,0.26,0.71,0.480,0.25,0.01,1.55,0.480,0.37,-0.18,-0.89,0.480,0.33,0.34,-0.07,0.480,0.26,-0.02,1.35,0.480,0.30,-0.27,0.56,0.480,0.26,0.03,1.31,0.480,0.35,-0.36,-0.56,0.480,0.30,0.28,0.54,0.480,0.38,0.05,-1.24,0.480,0.39,0.06,-1.47,0.480,0.36,0.28,-0.72
0.520,0.22,0.01,2.09,0.520,0.32,-0.17,0.18,0.520,0.27,-0.25,1.12,0.520,0.35,0.33,-0.65,0.520,0.40,0.09,-1.64,0.520,0.26,0.11,1.24,0.520,0.30,-0.29,0.46,0.520,0.37,-0.25,-0.92,0.520,0.30,0.29,0.47,0.520,0.25,0.08,1.51,0.520,0.36,-0.22,-0.73,0.520,0.34,0.33,-0.36,0.520,0.26,0.03,1.34,0.520,0.29,-0.24,0.78,0.520,0.26,0.09,1.26,0.520,0.34,-0.37,-0.25,0.520,0.31,0.29,0.30,0.520,0.38,0.00,-1.26,0.520,0.39,-4.61E-4,-1.48,0.520,0.37,0.25,-0.95
0.560,0.23,0.10,2.04,0.560,0.31,-0.16,0.33,0.560,0.26,-0.20,1.32,0.560,0.37,0.29,-0.91,0.560,0.40,0.02,-1.68,0.560,0.27,0.16,1.12,0.560,0.29,-0.27,0.70,0.560,0.36,-0.28,-0.69,0.560,0.31,0.30,0.22,0.560,0.26,0.14,1.41,0.560,0.35,-0.24,-0.53,0.560,0.35,0.31,-0.63,0.560,0.26,0.08,1.28,0.560,0.28,-0.21,0.97,0.560,0.27,0.14,1.15,0.560,0.32,-0.38,0.06,0.560,0.32,0.30,0.05,0.560,0.38,-0.05,-1.23,0.560,0.39,-0.06,-1.45,0.560,0.38,0.21,-1.15
0.600,0.23,0.18,1.92,0.600,0.30,-0.14,0.46,0.600,0.25,-0.14,1.48,0.600,0.38,0.25,-1.14,0.600,0.40,-0.05,-1.66,0.600,0.28,0.20,0.97,0.600,0.28,-0.24,0.93,0.600,0.35,-0.30,-0.45,0.600,0.32,0.30,-0.05,0.600,0.26,0.19,1.27,0.600,0.34,-0.26,-0.30,0.600,0.37,0.28,-0.89,0.600,0.27,0.13,1.19,0.600,0.27,-0.16,1.13,0.600,0.27,0.18,1.01,0.600,0.31,-0.37,0.38,0.600,0.33,0.30,-0.21,0.600,0.38,-0.10,-1.16,0.600,0.39,-0.12,-1.38,0.600,0.39,0.16,-1.30
0.640,0.24,0.25,1.73,0.640,0.30,-0.12,0.55,0.640,0.25,-0.08,1.57,0.640,0.39,0.20,-1.33,0.640,0.40,-0.11,-1.60,0.640,0.29,0.23,0.79,0.640,0.27,-0.19,1.12,0.640,0.33,-0.31,-0.19,0.640,0.34,0.30,-0.30,0.640,0.27,0.24,1.09,0.640,0.33,-0.27,-0.08,0.640,0.38,0.24,-1.11,0.640,0.27,0.18,1.05,0.640,0.26,-0.12,1.26,0.640,0.28,0.22,0.84,0.640,0.29,-0.35,0.69,0.640,0.34,0.28,-0.46,0.640,0.37,-0.15,-1.07,0.640,0.38,-0.17,-1.26,0.640,0.39,0.10,-1.41
0.680,0.25,0.32,1.48,0.680,0.29,-0.10,0.64,0.680,0.25,-0.02,1.60,0.680,0.39,0.14,-1.49,0.680,0.39,-0.18,-1.49,0.680,0.30,0.26,0.58,0.680,0.26,-0.14,1.26,0.680,0.32,-0.32,0.07,0.680,0.35,0.28,-0.54,0.680,0.28,0.28,0.87,0.680,0.32,-0.27,0.14,0.680,0.38,0.19,-1.29,0.680,0.28,0.22,0.88,0.680,0.26,-0.06,1.33,0.680,0.29,0.25,0.63,0.680,0.28,-0.31,0.98,0.680,0.36,0.26,-0.69,0.680,0.37,-0.19,-0.94,0.680,0.38,-0.22,-1.10,0.680,0.39,0.04,-1.47
