"Time (s) Run #1","Position (m) Run #1","Velocity (m/s) Run #1","Acceleration (m/s²) Run #1","Time (s) Run #2","Position (m) Run #2","Velocity (m/s) Run #2","Acceleration (m/s²) Run #2","Time (s) Run #3","Position (m) Run #3","Velocity (m/s) Run #3","Acceleration (m/s²) Run #3","Time (s) Run #4","Position (m) Run #4","Velocity (m/s) Run #4","Acceleration (m/s²) Run #4","Time (s) Run #5","Position (m) Run #5","Velocity (m/s) Run #5","Acceleration (m/s²) Run #5","Time (s) Run #6","Position (m) Run #6","Velocity (m/s) Run #6","Acceleration (m/s²) Run #6","Time (s) Run #7","Position (m) Run #7","Velocity (m/s) Run #7","Acceleration (m/s²) Run #7","Time (s) Run #8","Position (m) Run #8","Velocity (m/s) Run #8","Acceleration (m/s²) Run #8","Time (s) Run #9","Position (m) Run #9","Velocity (m/s) Run #9","Acceleration (m/s²) Run #9","Time (s) Run #10","Position (m) Run #10","Velocity (m/s) Run #10","Acceleration (m/s²) Run #10","Time (s) Run #11","Position (m) Run #11","Velocity (m/s) Run #11","Acceleration (m/s²) Run #11","Time (s) Run #12","Position (m) Run #12","Velocity (m/s) Run #12","Acceleration (m/s²) Run #12","Time (s) Run #13","Position (m) Run #13","Velocity (m/s) Run #13","Acceleration (m/s²) Run #13","Time (s) Run #14","Position (m) Run #14","Velocity (m/s) Run #14","Acceleration (m/s²) Run #14","Time (s) Run #15","Position (m) Run #15","Velocity (m/s) Run #15","Acceleration (m/s²) Run #15","Time (s) Run #16","Position (m) Run #16","Velocity (m/s) Run #16","Acceleration (m/s²) Run #16","Time (s) Run #17","Position (m) Run #17","Velocity (m/s) Run #17","Acceleration (m/s²) Run #17","Time (s) Run #18","Position (m) Run #18","Velocity (m/s) Run #18","Acceleration (m/s²) Run #18","Time (s) Run #19","Position (m) Run #19","Velocity (m/s) Run #19","Acceleration (m/s²) Run #19","Time (s) Run #20","Position (m) Run #20","Velocity (m/s) Run #20","Acceleration (m/s²) Run #20"
0.000,0.36,,,0.000,0.35,,,0.000,0.33,,,0.000,0.35,,,0.000,0.32,,,0.000,0.29,,,0.000,0.23,,,0.000,0.31,,,0.000,0.30,,,0.000,0.27,,,0.000,0.32,,,0.000,0.25,,,0.000,0.28,,,0.000,0.27,,,0.000,0.37,,,0.000,0.29,,,0.000,0.36,,,0.000,0.24,,,0.000,0.37,,,0.000,0.37,,
0.040,0.37,0.23,,0.040,0.36,0.27,,0.040,0.35,0.39,,0.040,0.35,-0.03,,0.040,0.33,0.34,,0.040,0.30,0.31,,0.040,0.24,0.12,,0.040,0.33,0.29,,0.040,0.32,0.35,,0.040,0.26,-0.26,,0.040,0.34,0.36,,0.040,0.25,0.15,,0.040,0.27,-0.27,,0.040,0.28,0.30,,0.040,0.38,0.07,,0.040,0.27,-0.33,,0.040,0.34,-0.34,,0.040,0.25,0.21,,0.040,0.37,0.09,,0.040,0.36,-0.25,
0.080,0.38,0.18,-1.44,0.080,0.37,0.22,-1.35,0.080,0.36,0.34,-1.24,0.080,0.35,-0.07,-0.91,0.080,0.35,0.31,-0.83,0.080,0.31,0.30,-0.19,0.080,0.24,0.18,1.33,0.080,0.34,0.26,-0.64,0.080,0.33,0.33,-0.57,0.080,0.25,-0.21,1.25,0.080,0.35,0.33,-0.92,0.080,0.26,0.19,0.92,0.080,0.26,-0.23,1.02,0.080,0.29,0.32,0.31,0.080,0.38,0.01,-1.42,0.080,0.26,-0.29,1.00,0.080,0.33,-0.36,-0.41,0.080,0.26,0.25,0.94,0.080,0.37,0.04,-1.40,0.080,0.35,-0.29,-0.90
0.120,0.38,0.12,-1.53,0.120,0.38,0.16,-1.48,0.120,0.38,0.29,-1.44,0.120,0.35,-0.10,-0.83,0.120,0.36,0.28,-1.03,0.120,0.33,0.29,-0.38,0.120,0.25,0.23,1.14,0.120,0.35,0.24,-0.82,0.120,0.35,0.31,-0.81,0.120,0.24,-0.16,1.36,0.120,0.36,0.29,-1.13,0.120,0.27,0.23,0.75,0.120,0.25,-0.18,1.15,0.120,0.30,0.33,0.06,0.120,0.38,-0.05,-1.38,0.120,0.25,-0.25,1.17,0.120,0.31,-0.37,-0.12,0.120,0.27,0.29,0.73,0.120,0.38,-0.02,-1.38,0.120,0.34,-0.33,-0.64
0.160,0.39,0.05,-1.60,0.160,0.39,0.10,-1.58,0.160,0.39,0.23,-1.63,0.160,0.34,-0.13,-0.74,0.160,0.37,0.23,-1.22,0.160,0.34,0.27,-0.59,0.160,0.26,0.27,0.93,0.160,0.36,0.20,-0.99,0.160,0.36,0.27,-1.03,0.160,0.24,-0.10,1.44,0.160,0.37,0.24,-1.33,0.160,0.28,0.25,0.54,0.160,0.25,-0.14,1.26,0.160,0.32,0.32,-0.19,0.160,0.37,-0.10,-1.32,0.160,0.24,-0.20,1.33,0.160,0.30,-0.37,0.17,0.160,0.28,0.31,0.48,0.160,0.37,-0.07,-1.33,0.160,0.33,-0.35,-0.37
0.200,0.39,-0.01,-1.62,0.200,0.39,0.04,-1.63,0.200,0.40,0.16,-1.78,0.200,0.34,-0.16,-0.62,0.200,0.38,0.18,-1.39,0.200,0.35,0.24,-0.81,0.200,0.27,0.30,0.68,0.200,0.36,0.15,-1.14,0.200,0.37,0.22,-1.22,0.200,0.23,-0.04,1.50,0.200,0.38,0.18,-1.50,0.200,0.29,0.27,0.32,0.200,0.24,-0.08,1.35,0.200,0.33,0.31,-0.44,0.200,0.37,-0.15,-1.21,0.200,0.24,-0.14,1.47,0.200,0.28,-0.36,0.46,0.200,0.30,0.33,0.21,0.200,0.37,-0.13,-1.24,0.200,0.31,-0.36,-0.08
0.240,0.39,-0.08,-1.58,0.240,0.39,-0.03,-1.62,0.240,0.40,0.08,-1.89,0.240,0.33,-0.18,-0.46,0.240,0.38,0.12,-1.51,0.240,0.36,0.21,-1.00,0.240,0.29,0.32,0.42,0.240,0.37,0.11,-1.24,0.240,0.38,0.17,-1.37,0.240,0.23,0.02,1.52,0.240,0.39,0.12,-1.62,0.240,0.30,0.28,0.09,0.240,0.24,-0.03,1.40,0.240,0.34,0.29,-0.69,0.240,0.36,-0.20,-1.06,0.240,0.23,-0.08,1.57,0.240,0.27,-0.33,0.75,0.240,0.31,0.33,-0.07,0.240,0.36,-0.17,-1.11,0.240,0.30,-0.35,0.20
0.280,0.38,-0.14,-1.49,0.280,0.39,-0.09,-1.57,0.280,0.40,0.01,-1.93,0.280,0.32,-0.20,-0.30,0.280,0.39,0.06,-1.58,0.280,0.36,0.16,-1.14,0.280,0.30,0.33,0.15,0.280,0.37,0.05,-1.30,0.280,0.38,0.11,-1.48,0.280,0.23,0.08,1.48,0.280,0.39,0.05,-1.68,0.280,0.31,0.28,-0.13,0.280,0.24,0.03,1.40,0.280,0.35,0.26,-0.92,0.280,0.35,-0.24,-0.88,0.280,0.23,-0.01,1.60,0.280,0.26,-0.30,1.02,0.280,0.32,0.32,-0.33,0.280,0.36,-0.21,-0.96,0.280,0.28,-0.34,0.49
0.320,0.38,-0.20,-1.35,0.320,0.38,-0.16,-1.46,0.320,0.40,-0.07,-1.90,0.320,0.31,-0.21,-0.13,0.320,0.39,-0.01,-1.60,0.320,0.37,0.11,-1.24,0.320,0.31,0.33,-0.12,0.320,0.37,0.00,-1.32,0.320,0.38,0.05,-1.55,0.320,0.24,0.14,1.38,0.320,0.39,-0.02,-1.69,0.320,0.32,0.27,-0.35,0.320,0.24,0.09,1.34,0.320,0.36,0.21,-1.11,0.320,0.34,-0.27,-0.68,0.320,0.23,0.05,1.57,0.320,0.25,-0.25,1.26,0.320,0.34,0.30,-0.59,0.320,0.35,-0.25,-0.77,0.320,0.27,-0.31,0.77
0.360,0.37,-0.25,-1.17,0.360,0.37,-0.21,-1.31,0.360,0.40,-0.15,-1.80,0.360,0.31,-0.21,0.03,0.360,0.39,-0.07,-1.56,0.360,0.37,0.06,-1.30,0.360,0.33,0.32,-0.38,0.360,0.37,-0.05,-1.30,0.360,0.39,-0.01,-1.57,0.360,0.25,0.19,1.24,0.360,0.39,-0.08,-1.65,0.360,0.33,0.25,-0.56,0.360,0.25,0.14,1.23,0.360,0.37,0.17,-1.26,0.360,0.33,-0.29,-0.45,0.360,0.23,0.12,1.49,0.360,0.24,-0.20,1.45,0.360,0.35,0.28,-0.82,0.360,0.34,-0.28,-0.56,0.360,0.26,-0.28,1.01
